STATION,DATE,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,2005-03-16,38.0,46,29,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-17,37.0,46,27,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-18,37.0,47,26,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-19,39.0,49,29,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-20,38.0,48,27,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-03-21,36.0,43,29,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-03-22,41.0,55,26,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-23,38.0,46,29,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-03-24,36.0,41,30,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-03-25,41.0,52,30,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-26,38.0,47,29,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-27,37.0,47,27,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-28,43.0,50,35,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-03-29,47.0,53,41,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-03-30,50.0,61,39,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-03-31,44.0,55,32,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-04-01,45.0,52,38,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-02,48.0,57,39,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-03,48.0,56,40,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-04,48.0,55,40,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-05,50.0,64,36,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-06,49.0,57,40,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-07,56.0,71,40,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-08,50.0,58,42,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-09,50.0,61,39,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-10,50.0,65,34,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-11,46.0,54,38,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-12,43.0,54,32,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-13,43.0,52,34,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-14,46.0,57,34,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-15,45.0,54,36,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-16,46.0,60,32,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-17,49.0,64,33,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-18,59.0,73,44,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-19,53.0,69,37,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-20,67.0,86,47,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-21,50.0,61,39,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-04-22,47.0,58,35,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-23,55.0,63,46,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-24,51.0,59,42,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-25,47.0,51,42,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-04-26,53.0,68,38,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-04-27,53.0,56,50,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-04-28,53.0,65,41,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-04-29,52.0,63,40,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-04-30,52.0,57,47,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-01,54.0,62,46,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-02,51.0,61,40,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-05-03,50.0,58,41,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-04,48.0,57,39,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-05,49.0,62,36,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-06,47.0,55,39,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-07,45.0,47,42,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-08,48.0,53,42,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-05-09,52.0,56,47,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-05-10,58.0,67,48,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-11,53.0,62,44,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-12,56.0,65,46,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-13,52.0,64,40,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-14,55.0,61,49,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-15,57.0,66,47,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-16,55.0,64,45,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-17,57.0,65,48,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-05-18,55.0,62,47,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-19,56.0,65,46,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-20,54.0,63,44,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-21,51.0,58,43,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-05-22,53.0,59,46,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-05-23,51.0,57,45,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-24,48.0,50,45,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-25,46.0,48,44,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-26,51.0,56,46,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-27,58.0,65,51,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-05-28,65.0,77,53,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-05-29,65.0,75,54,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-05-30,64.0,76,52,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-05-31,59.0,68,50,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-01,60.0,69,51,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-02,57.0,64,50,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-03,64.0,75,53,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-04,69.0,80,58,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-06-05,74.0,88,59,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-06-06,65.0,72,58,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-06-07,74.0,86,62,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-06-08,75.0,87,62,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-06-09,77.0,87,66,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-06-10,74.0,80,67,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-11,77.0,87,67,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-12,78.0,88,67,,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014765,2005-06-13,83.0,92,73,,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014765,2005-06-14,75.0,93,56,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-15,55.0,59,51,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-16,59.0,67,51,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-17,66.0,76,55,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-18,62.0,70,53,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-19,60.0,67,53,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-20,61.0,73,49,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-21,67.0,82,52,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-22,68.0,76,60,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-06-23,66.0,76,55,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-24,70.0,85,55,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-25,80.0,93,66,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-06-26,82.0,94,70,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-06-27,75.0,82,68,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-28,73.0,78,68,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-29,80.0,90,70,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-06-30,71.0,75,67,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-01,73.0,79,67,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-02,74.0,82,66,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-03,70.0,81,59,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-04,68.0,80,56,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-05,69.0,83,55,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-07-06,68.0,74,62,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-07,64.0,69,59,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-07-08,60.0,63,57,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-09,69.0,81,56,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-10,77.0,91,63,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-11,83.0,93,72,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-12,73.0,83,63,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-13,68.0,73,62,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-14,75.0,85,65,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-15,79.0,88,69,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-07-16,76.0,84,67,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-07-17,75.0,81,68,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-18,77.0,82,72,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-19,84.0,94,74,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-07-20,82.0,91,73,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-07-21,77.0,86,68,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-22,81.0,94,68,,,1.0,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-07-23,77.0,86,68,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-24,73.0,86,60,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-25,77.0,84,70,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-07-26,82.0,96,67,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-07-27,84.0,95,73,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-07-28,72.0,80,63,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-29,73.0,88,57,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-07-30,77.0,85,68,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-07-31,72.0,79,65,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-01,,86,63,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-02,,92,69,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-08-03,,95,70,,,1.0,,,,,,,,,,,,,,,,,
USW00014765,2005-08-04,,86,68,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-08-05,,99,72,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-06,,86,64,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-07,,84,62,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-08,,91,67,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-09,,86,73,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-10,,85,71,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-11,,95,70,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-12,,87,73,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-13,,100,77,,,1.0,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-08-14,,93,74,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-15,,75,64,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-08-16,,78,63,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-17,,89,66,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-18,,82,62,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-19,,80,59,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-20,,84,64,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-08-21,,89,68,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-22,,89,68,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-23,,83,60,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-24,,81,61,,,1.0,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-08-25,,82,59,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-26,,86,59,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-27,,83,60,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-08-28,,82,69,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-08-29,,83,72,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-30,,75,71,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-08-31,,80,75,,,,,,,,,,,,,1.0,,1.0,,,,,
USW00014765,2005-09-01,,86,66,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-09-02,,86,63,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-03,,83,65,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-04,,84,61,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-05,,78,58,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-06,,78,53,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-07,,79,55,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-08,,83,57,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-09,,75,60,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-09-10,,76,55,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-09-11,,74,51,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-12,,91,63,,,,,,,,1.0,,,,,,,,,,,,
USW00014765,2005-09-13,,85,67,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-09-14,,84,66,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-09-15,,76,70,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-09-16,,72,66,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-09-17,,76,65,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-09-18,,78,63,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-09-19,,82,58,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-20,,78,61,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,
USW00014765,2005-09-21,,80,61,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-22,,83,56,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-23,,83,62,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-24,,68,50,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-25,,69,45,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-26,,77,64,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-09-27,,73,52,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-09-28,,69,48,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-09-29,,76,48,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-09-30,,62,44,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-01,,68,44,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-02,,75,48,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-10-03,,72,51,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-10-04,,72,57,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-10-05,,75,59,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,
USW00014765,2005-10-06,,76,65,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-07,,78,68,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-10-08,,76,70,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-10-09,,72,52,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-10,,56,54,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-11,,60,55,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-12,,57,53,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-13,,61,55,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-10-14,,63,58,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-10-15,,64,53,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-10-16,,64,50,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-17,,61,47,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-18,,67,43,,,,,,,,,,,,,,,1.0,,,,,
USW00014765,2005-10-19,,66,45,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-20,,58,44,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-21,,56,37,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-10-22,,49,36,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-10-23,,50,44,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-24,,50,37,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-25,,51,41,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-10-26,,51,39,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
